"route","owner","viewports","execution","reason"
"/","S01_PREFLIGHT","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/admin/advance-settlements","S04_ACCOUNTANT","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/admin/audit-log","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/admin/audit-logs","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/advances","S04_ACCOUNTANT","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/audit-log","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/audit-logs","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/chatbot-monitoring","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/clerk/shipments/:id/docs","S08_CLERK","1440x900|768x1024|390x844","BLOCKED","FIXTURE"
"/clerk/shipments/new","S08_CLERK","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/ancillary-revenue","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/app-settings","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/cap-table","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/cargo-types","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/company-info","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/container-types","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/customers","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/debit-note-templates","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/debit-note-templates/:id","S02_ADMIN","1440x900|768x1024|390x844","BLOCKED","FIXTURE"
"/config/debit-note-templates/new","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/expense-categories","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/faq-entries","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/forwarder-expense-types","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/fuel","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/fuel-norms","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/lift-pricing","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/llm-settings","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/management-fees","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/onboarding-settings","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/penalty-reasons","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/ports","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/pricing-tables","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/road-allowances","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/routes","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/salary-periods","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/seal-types","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/tire-positions","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
